SITE_ID,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
BFT142,29,2022,7/26/22 8:00,0.182,2.237,0.199,0.077,0.102,0.206,1.6,0.23,0.904,0.416,0.159,1.503,1.1,7/19/22
BFT142,29,2023,7/25/23 8:00,0.116,0.462,0.333,0.129,0.099,0.089,0.645,0.316,0.645,0.576,0.22,1.249,0.973,7/18/23
BFT142,29,2024,7/23/24 8:00,0.151,1.746,0.143,0.055,0.101,0.173,1.302,0.165,0.766,-,-,1.116,0.907,7/16/24
BFT142,30,2020,7/28/20 8:00,0.121,0.951,0.213,0.083,0.054,0.098,0.783,0.247,0.697,0.361,0.138,0.978,0.907,7/21/20
BFT142,30,2021,7/27/21 8:00,0.142,0.492,0.41,0.159,0.096,0.082,0.542,0.272,0.499,0.3,0.114,0.965,0.902,7/20/21
BFT142,30,2022,8/2/22 8:00,0.31,2.297,0.165,0.064,0.117,0.239,1.78,0.204,1.17,0.485,0.185,1.769,1.332,7/26/22
BFT142,30,2023,8/1/23 8:00,0.096,0.938,0.234,0.091,0.073,0.101,0.733,0.251,0.495,0.426,0.163,1.087,0.726,7/25/23
BFT142,30,2024,7/30/24 8:00,0.107,1.053,0.14,0.054,0.086,0.112,0.82,0.228,0.573,-,-,0.799,0.711,7/23/24
BFT142,31,2020,8/4/20 8:00,0.315,2.035,0.218,0.085,0.131,0.227,1.533,0.241,0.905,0.472,0.18,1.642,1.12,7/28/20
BFT142,31,2021,8/3/21 8:00,0.081,0.907,0.199,0.077,0.119,0.113,0.889,0.254,0.508,1.681,0.642,1.206,0.705,7/27/21
BFT142,31,2022,8/9/22 8:00,0.189,0.9,0.198,0.077,0.074,0.121,0.841,0.154,0.776,0.336,0.128,1.159,0.972,8/2/22
BFT142,31,2023,8/8/23 8:00,0.079,0.288,0.303,0.118,0.071,0.078,0.593,0.2,0.574,0.489,0.187,0.978,0.872,8/1/23
BFT142,31,2024,8/6/24 8:00,0.177,2.532,0.162,0.063,0.117,0.22,1.691,0.241,0.719,-,-,1.312,0.878,7/30/24
BFT142,32,2020,8/11/20 8:00,0.106,0.933,0.189,0.073,0.094,0.118,0.854,0.259,0.572,0.246,0.094,1.177,0.758,8/4/20
BFT142,32,2021,8/10/21 8:00,0.056,0.675,0.137,0.053,0.101,0.072,0.57,0.188,0.362,0.407,0.155,0.722,0.497,8/3/21
BFT142,32,2022,8/16/22 8:00,0.478,0.606,0.244,0.095,0.063,0.092,0.583,0.135,0.791,0.503,0.192,0.789,1.03,8/9/22
BFT142,32,2023,8/15/23 8:00,0.14,0.578,0.245,0.095,0.085,0.095,0.707,0.311,0.712,0.501,0.191,1.299,0.954,8/8/23
BFT142,32,2024,8/13/24 8:00,0.261,3.116,0.141,0.055,0.141,0.263,1.953,0.301,0.596,-,-,1.596,0.735,8/6/24
BFT142,33,2020,8/18/20 8:00,0.072,0.683,0.184,0.071,0.08,0.075,0.578,0.224,0.362,0.346,0.132,0.812,0.544,8/11/20
BFT142,33,2021,8/17/21 8:00,0.13,0.588,0.204,0.079,0.086,0.087,0.581,0.177,0.442,0.198,0.076,1.041,0.642,8/10/21
BFT142,33,2022,8/23/22 8:00,0.273,1.041,0.151,0.059,0.07,0.1,0.777,0.193,0.536,0.407,0.155,0.912,0.684,8/16/22
BFT142,33,2023,8/22/23 8:00,0.235,0.81,0.276,0.107,0.134,0.154,1.095,0.204,0.905,0.55,0.21,1.701,1.176,8/15/23
BFT142,33,2024,8/20/24 8:00,0.13,0.693,0.415,0.161,0.105,0.096,0.693,0.296,0.521,-,-,0.97,0.93,8/13/24
BFT142,34,2020,8/25/20 8:00,0.095,0.365,0.237,0.092,0.081,0.064,0.438,0.199,0.435,0.282,0.108,0.8,0.668,8/18/20
BFT142,34,2021,8/24/21 8:00,0.105,0.734,0.127,0.049,0.133,0.087,0.621,0.208,0.396,0.239,0.091,0.995,0.521,8/17/21
BFT142,34,2022,8/30/22 8:00,0.196,0.237,0.29,0.113,0.063,0.041,0.281,0.31,0.276,0.313,0.119,1.035,0.561,8/23/22
BFT142,34,2023,8/29/23 8:00,0.206,1.425,0.252,0.098,0.11,0.163,1.235,0.13,0.739,0.356,0.136,1.154,0.987,8/22/23
BFT142,34,2024,8/27/24 8:00,0.151,0.701,0.335,0.13,0.093,0.084,0.638,0.257,0.701,-,-,0.769,1.03,8/20/24
BFT142,35,2020,9/1/20 8:00,0.396,1.442,0.246,0.095,0.114,0.154,1.054,0.276,0.822,0.342,0.131,1.293,1.064,8/25/20
BFT142,35,2021,8/31/21 8:00,0.684,1.114,0.246,0.095,0.207,0.206,0.964,0.27,1.184,0.36,0.137,2.148,1.426,8/24/21
BFT142,35,2022,9/6/22 8:00,0.272,0.325,0.298,0.116,0.059,0.069,0.455,0.3,0.641,0.45,0.172,1.089,0.934,8/30/22
BFT142,35,2023,9/5/23 8:00,0.098,1.512,0.177,0.069,0.078,0.135,1.073,0.195,0.533,0.418,0.16,0.853,0.708,8/29/23
BFT142,35,2024,9/3/24 8:00,0.127,0.498,0.254,0.099,0.066,0.066,0.486,0.26,0.426,-,-,0.909,0.676,8/27/24
BFT142,36,2020,9/8/20 8:00,0.497,1.331,0.3,0.116,0.122,0.171,1.172,0.337,1.083,0.474,0.181,1.704,1.378,9/1/20
BFT142,36,2021,9/7/21 8:00,0.273,0.936,0.234,0.091,0.1,0.115,0.788,0.204,0.712,0.307,0.117,1.062,0.942,8/31/21
BFT142,36,2022,9/13/22 8:00,0.073,1.406,0.132,0.051,0.091,0.127,1.023,0.211,0.523,0.33,0.126,1.022,0.653,9/6/22
BFT142,36,2023,9/12/23 8:00,0.146,0.457,0.463,0.18,0.087,0.096,0.692,0.379,0.571,0.579,0.221,1.428,1.026,9/5/23
